G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Apr 16 2022,8:30p,,Box Score,,Denver Nuggets,W,,123,107,1,0,W 1,
2,Mon Apr 18 2022,10:00p,,Box Score,,Denver Nuggets,W,,126,106,2,0,W 2,
3,Thu Apr 21 2022,10:00p,,Box Score,@,Denver Nuggets,W,,118,113,3,0,W 3,
4,Sun Apr 24 2022,3:30p,,Box Score,@,Denver Nuggets,L,,121,126,3,1,L 1,
5,Wed Apr 27 2022,10:00p,,Box Score,,Denver Nuggets,W,,102,98,4,1,W 1,
6,Sun May 1 2022,3:30p,,Box Score,@,Memphis Grizzlies,W,,117,116,5,1,W 2,
7,Tue May 3 2022,9:30p,,Box Score,@,Memphis Grizzlies,L,,101,106,5,2,L 1,
8,Sat May 7 2022,8:30p,,Box Score,,Memphis Grizzlies,W,,142,112,6,2,W 1,
9,Mon May 9 2022,10:00p,,Box Score,,Memphis Grizzlies,W,,101,98,7,2,W 2,
10,Wed May 11 2022,9:30p,,Box Score,@,Memphis Grizzlies,L,,95,134,7,3,L 1,
11,Fri May 13 2022,10:00p,,Box Score,,Memphis Grizzlies,W,,110,96,8,3,W 1,
12,Wed May 18 2022,9:00p,,Box Score,,Dallas Mavericks,W,,112,87,9,3,W 2,
13,Fri May 20 2022,9:00p,,Box Score,,Dallas Mavericks,W,,126,117,10,3,W 3,
14,Sun May 22 2022,9:00p,,Box Score,@,Dallas Mavericks,W,,109,100,11,3,W 4,
15,Tue May 24 2022,9:00p,,,@,Dallas Mavericks,,,,,,,,
16,Thu May 26 2022,,,,,Dallas Mavericks,,,,,,,,
17,Sat May 28 2022,,,,@,Dallas Mavericks,,,,,,,,
18,Mon May 30 2022,,,,,Dallas Mavericks,,,,,,,,
